id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Tue 3/29,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.73,36.88,83,6,N,0,0,1003,98,1648591200,-28800
2,Alaska,Anchorage,2,Wed 3/30,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,29.98,36.25,88,6,NE,0,0,1008,96,1648677600,-28800
3,Alaska,Anchorage,3,Thu 3/31,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,29.89,38.77,72,6,N,0,0,1008,83,1648764000,-28800
4,Alaska,Anchorage,4,Fri 4/1,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,27.95,37.6,76,8,N,0,0,1000,100,1648850400,-28800
5,Alaska,Anchorage,5,Sat 4/2,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,31.24,36.01,82,5,SE,0,0,998,40,1648936800,-28800
6,Alaska,Fairbanks,1,Tue 3/29,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,16.32,30.94,86,4,N,0,0.51,1004,100,1648587600,-28800
7,Alaska,Fairbanks,2,Wed 3/30,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,15.42,29.62,85,6,N,0,0.56,1012,99,1648674000,-28800
8,Alaska,Fairbanks,3,Thu 3/31,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,5.36,31.53,69,7,N,0,0,1013,1,1648760400,-28800
9,Alaska,Fairbanks,4,Fri 4/1,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,1.04,28.22,69,7,N,0,0,1006,3,1648846800,-28800
10,Alaska,Fairbanks,5,Sat 4/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,-3.41,18.12,73,5,N,0,1.47,1004,98,1648933200,-28800
11,Alaska,Juneau,1,Tue 3/29,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,35.24,39.15,99,6,E,5.58,14.84,1006,100,1648587600,-28800
12,Alaska,Juneau,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,34.77,37.4,99,8,E,3.16,22.88,1012,100,1648674000,-28800
13,Alaska,Juneau,3,Thu 3/31,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,31.93,36.99,99,6,NE,0,7.73,1018,100,1648760400,-28800
14,Alaska,Juneau,4,Fri 4/1,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,30.85,37.15,99,5,NE,0,8.45,1004,100,1648846800,-28800
15,Alaska,Juneau,5,Sat 4/2,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,28.33,38.19,92,6,NE,0,1.88,1000,100,1648933200,-28800
16,Colorado,Denver/Boulder,1,Tue 3/29,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,38.82,52.99,79,9,SW,14.63,0.25,995,100,1648580400,-21600
17,Colorado,Denver/Boulder,2,Wed 3/30,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,29.89,48.87,49,18,NW,0.6,0,1004,100,1648666800,-21600
18,Colorado,Denver/Boulder,3,Thu 3/31,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.2,58.77,27,9,SW,0,0,1005,3,1648753200,-21600
19,Colorado,Denver/Boulder,4,Fri 4/1,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,41.45,54.39,27,23,W,0,0,1009,49,1648839600,-21600
20,Colorado,Denver/Boulder,5,Sat 4/2,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,39.42,64.29,28,14,SW,0,0,1010,97,1648926000,-21600
21,Colorado,Grand Junction,1,Tue 3/29,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,43.79,53.65,71,9,W,11.37,0,1000,100,1648580400,-21600
22,Colorado,Grand Junction,2,Wed 3/30,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,41.05,55.87,38,15,NW,0,0,1007,44,1648666800,-21600
23,Colorado,Grand Junction,3,Thu 3/31,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,41.14,59.94,30,9,SW,0.18,0,1009,79,1648753200,-21600
24,Colorado,Grand Junction,4,Fri 4/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.85,60.26,33,5,NW,2.76,0,1013,4,1648839600,-21600
25,Colorado,Grand Junction,5,Sat 4/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,47.48,66.94,30,10,W,0,0,1012,7,1648926000,-21600
26,Colorado,Pueblo,1,Tue 3/29,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,42.08,65.41,21,29,N,3.75,0,989,100,1648580400,-21600
27,Colorado,Pueblo,2,Wed 3/30,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,35.85,42.17,52,27,N,0.75,2.62,1006,99,1648666800,-21600
28,Colorado,Pueblo,3,Thu 3/31,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,35.8,62.08,24,9,SE,0,0,1008,5,1648753200,-21600
29,Colorado,Pueblo,4,Fri 4/1,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,46.02,59.38,28,16,E,0.27,0,1007,49,1648839600,-21600
30,Colorado,Pueblo,5,Sat 4/2,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,40.3,70.56,28,10,SE,0,0,1012,0,1648926000,-21600
31,Illinois,Chicago,1,Tue 3/29,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,28.31,39.6,34,16,E,0.13,0,1022,98,1648573200,-18000
